Format Version,1.25,Take Name,Take 2026-04-16 04.29.11 PM Shannon,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-04-16 04.29.41.975 PM,Capture Start Frame,2074563,Total Frames in Take,9187,Total Exported Frames,9187,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
18,0.180000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.075307,0.432486,-0.675739,0.592167,1403.548828,1520.042725,-2569.511230,1363.010376,1546.733276,-2634.807373,1426.219971,1540.708008,-2526.225098,1378.721313,1488.096191,-2620.911377,1446.243774,1504.633301,-2496.100342,1363.133667,1546.791016,-2634.717041,1426.024780,1540.578247,-2526.355225,1378.834106,1488.102539,-2620.590820,1446.194946,1504.694702,-2496.379883,1819.006470,1567.338501,-2802.103516,,,,,,,,,,,,
19,0.190000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.074231,0.432835,-0.677423,0.590120,1401.553711,1520.492188,-2569.611816,1360.862427,1547.208862,-2634.802002,1424.471191,1541.155640,-2526.454834,1376.405884,1488.539917,-2620.852539,1444.475830,1505.063965,-2496.337646,1361.026978,1547.263184,-2634.707275,1424.311768,1541.049194,-2526.440430,1376.400513,1488.488892,-2620.726074,1444.477173,1505.177124,-2496.596436,1819.047852,1567.332642,-2802.081299,,,,,,,,,,,,
20,0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.073560,0.433907,-0.676969,0.589938,1399.918091,1520.988892,-2569.719238,1359.051758,1547.734009,-2634.788574,1422.911865,1541.629395,-2526.592041,1374.687012,1489.066162,-2620.937500,1443.021851,1505.526001,-2496.559082,1359.188599,1547.794556,-2634.758301,1422.759277,1541.653442,-2526.510986,1374.675659,1488.976318,-2620.807617,1443.048218,1505.531738,-2496.819824,1819.070068,1567.312744,-2802.032471,,,,,,,,,,,,
21,0.210000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.073637,0.434376,-0.676196,0.590470,1398.310059,1521.427368,-2569.848877,1357.408325,1548.191406,-2634.887695,1421.264648,1542.048584,-2526.691406,1373.137695,1489.530884,-2621.112305,1441.429810,1505.938354,-2496.703613,1357.543213,1548.203125,-2634.831055,1421.145264,1542.071533,-2526.620361,1373.144897,1489.490845,-2620.969482,1441.404297,1505.943970,-2497.009033,1819.156860,1567.372070,-2801.951904,,,,,,,,,,,,
22,0.220000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.074013,0.435016,-0.675408,0.590852,1396.896729,1521.859375,-2570.004150,1355.975220,1548.699585,-2634.999512,1419.817627,1542.424805,-2526.802246,1371.773193,1490.031738,-2621.334473,1440.020752,1506.281128,-2496.880615,1356.095459,1548.712646,-2634.992676,1419.661743,1542.476074,-2526.738281,1371.801636,1490.010010,-2621.118652,1440.023438,1506.233154,-2497.188721,1819.214111,1567.358521,-2801.894287,,,,,,,,,,,,
23,0.230000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.073184,0.436876,-0.671217,0.594350,1395.323608,1522.143311,-2570.074707,1354.138794,1548.848145,-2634.959473,1418.009888,1542.750610,-2526.769043,1370.557739,1490.289062,-2621.562012,1438.588135,1506.685425,-2497.008545,1354.250732,1548.903442,-2634.949707,1417.769409,1542.669800,-2526.860840,1370.677490,1490.312378,-2621.159912,1438.592896,1506.682495,-2497.297119,1819.199463,1567.354858,-2801.846191,,,,,,,,,,,,
24,0.240000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.072131,0.435257,-0.675237,0.591104,1393.480103,1522.288818,-2570.028564,1352.331665,1548.922241,-2634.965576,1416.466675,1542.982056,-2526.922607,1368.294922,1490.313843,-2621.236816,1436.827026,1506.936768,-2496.988770,1352.584106,1549.099609,-2634.927979,1416.125000,1542.863281,-2526.851562,1368.250854,1490.144897,-2621.028320,1436.957275,1507.052612,-2497.319580,1819.294189,1567.366821,-2801.776367,,,,,,,,,,,,
25,0.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.071182,0.435212,-0.676882,0.589367,1392.194092,1522.567749,-2569.987549,1350.944824,1549.190674,-2634.864746,1415.380859,1543.282715,-2526.999512,1366.745728,1490.559814,-2621.044678,1435.705322,1507.237671,-2497.041016,1351.144897,1549.360962,-2634.875732,1415.124512,1543.318726,-2526.818115,1366.676392,1490.329712,-2620.913574,1435.827881,1507.261230,-2497.350098,1819.330200,1567.370117,-2801.768066,,,,,,,,,,,,
26,0.260000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.071787,0.435519,-0.676688,0.589290,1390.864380,1522.896484,-2569.988037,1349.651733,1549.619019,-2634.847656,1414.040527,1543.546875,-2526.963135,1365.425659,1490.964478,-2621.097900,1434.339478,1507.455322,-2497.043457,1349.896484,1549.777954,-2634.787842,1413.753906,1543.516846,-2526.859131,1365.393311,1490.775635,-2620.902832,1434.420288,1507.524292,-2497.431152,1819.349121,1567.374023,-2801.732422,,,,,,,,,,,,
27,0.270000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.071903,0.436022,-0.676258,0.589398,1389.641724,1523.243042,-2569.956787,1348.394287,1550.016235,-2634.773193,1412.817139,1543.857178,-2526.914062,1364.208862,1491.355469,-2621.096924,1433.146973,1507.743164,-2497.042480,1348.639282,1550.137817,-2634.666748,1412.546753,1543.838623,-2526.868652,1364.210449,1491.207642,-2620.872559,1433.176880,1507.794434,-2497.454590,1819.340820,1567.360596,-2801.702393,,,,,,,,,,,,
